title,company,location,description,created,category,clean_description
Research Scientist - Physical Modelling of Light Sources,ASML,"Veldhoven, Noord-Brabant","Introduction At ASML Research, everyone is part of a multidisciplinary team. Physicists, data scientists, chemical engineers, metrology experts and more – all working together in different teams to crack a particular challenge. Each team member brings a different set of skills to attack technical challenges from different angles. The result? Incredibly imaginative breakthroughs at the cutting edge of engineering. ASML Research is currently looking for an expert in extreme light generation and h…",2025-05-30T08:11:03Z,Data Engineer,introduction asml research everyone part multidisciplinary team physicists data scientists chemical engineers metrology experts working together different teams crack particular challenge team member brings different set skills attack technical challenges different angles result incredibly imaginative breakthroughs cutting edge engineering asml research currently looking expert extreme light generation
Configuration Management Expert,ASML,"Veldhoven, Noord-Brabant","The Configuration Management team manages global configuration information, enabling ASML to achieve excellent delivery performance at minimum cost. It creates and controls m Introduction: The Configuration Management team manages global configuration information, enabling ASML to achieve excellent delivery performance at minimum cost. It creates and controls machine configurations and related master data for ASML's Development & Engineering, Supply Chain Management, Manufacturing and Customer …",2023-12-18T12:35:48Z,Data Engineer,configuration management team manages global configuration information enabling asml achieve excellent delivery performance minimum cost creates controls introduction configuration management team manages global configuration information enabling asml achieve excellent delivery performance minimum cost creates controls machine configurations related master data asmls development engineering supply chain management manufacturing customer
Configuration Management Expert,ASML,"Veldhoven, Noord-Brabant","Fast market introduction of ASMLs newest technologies requires state of the art teamwork by all disciplines. Smooth implementation of new and changed hardware Introduction Fast market introduction of ASML’s newest technologies requires state of the art teamwork by all disciplines. Smooth implementation of new and changed hardware, introduced on a daily basis, is crucial for the business. This requires an effective process, coordinating the change requests through the product life cycle and secu…",2023-12-18T12:35:46Z,Data Engineer,fast market introduction asmls newest technologies requires state art teamwork disciplines smooth implementation new changed hardware introduction fast market introduction newest technologies requires state art teamwork disciplines smooth implementation new changed hardware introduced daily basis crucial business requires effective process coordinating change requests product life cycle
Configuration Status Accounting Business Manager,ASML,"Veldhoven, Noord-Brabant","Fast market introduction of ASMLs Introduction Fast market introduction of ASML’snewest technologies requires state of the art teamwork by all disciplines. Smooth implementation of new and changed hardware and software, introduced on a daily basis, is crucial for our business. This requires an effective and efficient process, coordinating the change requests through the product lifecycle and securing the efficiency and profitability of ASML’s business. Our ‘product change process’ is currently …",2023-12-18T12:35:46Z,Data Engineer,fast market introduction asmls introduction fast market introduction technologies requires state art teamwork disciplines smooth implementation new changed hardware software introduced daily basis crucial business requires effective efficient process coordinating change requests product lifecycle securing efficiency profitability business change currently
Senior Hadoop Engineer,ASML,"Veldhoven, Noord-Brabant","Can you independently function as the IT Hadoop lead developer and coach teammembers in our Machine data valuestream? Introduction Can you independently function as the IT Hadoop lead developer and coach teammembers in our Machine data valuestream? If “yes” then we want to talk to you Job Mission We provide high quality innovative machine data solutions, that enable ASML, its customers and suppliers to develop their products and services. Job Description ASML is looking for a senior Hadoop deve…",2023-12-18T12:35:48Z,Data Engineer,independently function hadoop lead developer coach teammembers machine data valuestream introduction independently function hadoop lead developer coach teammembers machine data valuestream want talk job mission provide high quality innovative machine data solutions enable asml customers suppliers develop products services job description asml looking senior hadoop
Service Products and Infrastructure Architect,ASML,"Veldhoven, Noord-Brabant","ASML delivers advanced lithographic equipment for the semiconductor industry. To minimize costly downtime of these complex machines, our chip manufacturing customers are typi Introduction ASML delivers advanced lithographic equipment for the semiconductor industry. To minimize costly downtime of these complex machines, our chip manufacturing customers are typically supported 24/7 by ASML field service engineers. Their task is to effectively diagnose and repair equipment failures. Job Mission To…",2023-12-18T12:35:46Z,Data Engineer,asml delivers advanced lithographic equipment semiconductor industry minimize costly downtime complex machines chip manufacturing customers typi introduction asml delivers advanced lithographic equipment semiconductor industry minimize costly downtime complex machines chip manufacturing customers typically supported asml field service engineers task effectively diagnose repair equipment failures job mission
Senior Data Scientist / Machine Learning Expert,ASML,"Veldhoven, Noord-Brabant","Are you the experienced data Introduction Are you the experienced datascientist that can generate actionable insights from Big Data by advancedmodeling? Are you able to identify, develop and apply the most effective and robust machinelearning approach to analyze complex machine data and apply the results toimprove performance and diagnostics capabilities? Do you consider it part ofyour job to inspire others and share your knowledge with your colleagues, thenread on Job Mission As a Senior Data …",2023-12-18T12:35:47Z,Machine Learning,experienced data introduction experienced datascientist generate actionable insights big data advancedmodeling able identify develop apply effective robust machinelearning approach analyze complex machine data apply results toimprove performance diagnostics capabilities consider part ofyour job inspire others share knowledge colleagues thenread job mission senior data
Data Science and Machine Learning Internship,ASML,"Veldhoven, Noord-Brabant","We make machines that make chips the hearts Introduction We make machines that make chips – the heartsof the devices that keep us informed, entertained and safe; that improve ourquality of life and help to tackle the world’s toughest problems. We build some of the most amazing machines thatyou will ever see, and the software to run them. Never satisfied, we measureour performance in units that begin with pico or nano. We believe we canalways do better. We believe the winning idea can come from …",2023-12-18T12:35:47Z,Machine Learning,make machines make chips hearts introduction make machines make chips heartsof devices keep us informed entertained safe improve ourquality life help tackle toughest problems build amazing machines thatyou ever see software run never satisfied measureour performance units begin pico nano believe canalways better believe winning idea come
Data Scientist,eTeam,"Veldhoven, Noord-Brabant","Role: Data Scientists Salary : 103k per annum  holidays Contract Position Duration : 11-Aug-2025 - 28-Feb-2026 Remote in the Netherlands with a Valid work visa Description: You will work in Data & Analytics together with other Data Scientists, Data Engineers, Data Analysts, Machine Learning Engineers, Data Stewards and Data Architects. Together you will be joining cross-functional teams consisting of colleagues from Technology, Product and Design from the business domain of Business Support. We…",2025-07-31T22:44:49Z,Machine Learning,role data scientists salary per annum holidays contract position duration remote netherlands valid work visa description work data analytics together data scientists data engineers data analysts machine learning engineers data stewards data architects together joining crossfunctional teams consisting colleagues technology product design business domain business support
Graduation assignment: Finding patterns in scanner data for wafer output optimization,ASML,"Veldhoven, Noord-Brabant","Are you curious about searching and finding the pros and cons of the High Performance Cluster and KNIME software in collaboration with ASML employees to build machine learning mode Introduction Are you curious about searching and finding the pros and cons of the High Performance Cluster and KNIME software in collaboration with ASML employees to build machine learning models? Then this graduation assignment could be interesting for you. Job Mission ASML designs, develops and integrates markets a…",2023-12-18T12:35:50Z,Machine Learning,curious searching finding pros cons high performance cluster knime software collaboration asml employees build machine learning mode introduction curious searching finding pros cons high performance cluster knime software collaboration asml employees build machine learning models graduation assignment could interesting job mission asml designs develops integrates markets
Operations Performance Analyst,ASML,"Veldhoven, Noord-Brabant",Are you challenged: By improving processes based on Performance analytics?-By applying AI and BI technologies to improve process efficiency?-By being the front runner i Introduction Are you challenged: -By improving processes based on Performance analytics? -By applying AI and BI technologies to improve process efficiency? -By being the front runner in applying Performance analytics in our processes? -By generating actionable insights from Big Data by advanced modeling? -By inspiring others and…,2023-12-18T12:35:46Z,Machine Learning,challenged improving processes based performance analyticsby applying ai bi technologies improve process efficiencyby front runner introduction challenged improving processes based performance analytics applying ai bi technologies improve process efficiency front runner applying performance analytics processes generating actionable insights big data advanced modeling inspiring others
Senior Java Developer,ASML,"Veldhoven, Noord-Brabant","When people think software, they often think of companies like Google or Microsoft. Even though ASML is classified as a hardware company, we in fact have one of the worlds large Introduction When people think ‘software’, they often think of companies like Google or Microsoft. Even though ASML is classified as a hardware company, we, in fact, have one of the world´s largest and most pioneering Java communities. The ASML Java environment is extremely attractive for prospective Java engineers beca…",2023-12-18T12:35:49Z,Machine Learning,people think software often think companies like google microsoft even though asml classified hardware company fact one worlds large introduction people think often think companies like google microsoft even though asml classified hardware company fact one largest pioneering java communities asml java environment extremely attractive prospective java engineers
Python Developer,Signify Technology,"Veldhoven, Noord-Brabant","Remote (UK/EU) | £500 a day | 6 Months | Outside IR35 | Start ASAP Backend Engineer Contractor Python / AI Developer We’re supporting an early-stage, AI-first startup backed. They’re building smart using LLM-powered tools and looking for a seasoned Python backend contractor to help scale things up and ship fast. What You’ll Be Doing: Building backend systems with Python Integrating ML tools (LangChain, LlamaIndex, etc.) Working closely with product and design Shipping clean, scalable code in a …",2025-07-09T07:12:16Z,Backend Developer,remote ukeu day months outside start asap backend engineer contractor python ai developer supporting earlystage aifirst startup backed building smart using llmpowered tools looking seasoned python backend contractor help scale things ship fast building backend systems python integrating ml tools langchain llamaindex etc working closely product design shipping clean scalable code
DevOps Engineer,Cross Border Talents,"Veldhoven, Noord-Brabant","Currently, Cross Border Talents are in search of a DevOps Engineer for one of our clients in the Netherlands. The company in question is a renowned Dutch agency specialized in the recruitment and relocation of technical specialists for the Netherlands. Some of the names they work with include clients like ASML, VDL, DAF Trucks, Siemens and many more. For one of their projects for a company which is an international innovation leader in the semiconductor industry, they are looking for a DevOps E…",2023-04-09T18:13:14Z,DevOps,currently cross border talents search devops engineer one clients netherlands company question renowned dutch agency specialized recruitment relocation technical specialists netherlands names work include clients like asml vdl daf trucks siemens many one projects company international innovation leader semiconductor industry looking devops
Software Development Tools Specialist (DevOps),ASML,"Veldhoven, Noord-Brabant","We are looking for a medior/senior Software Development Tools Specialist, a person who can take up hands-on technical lead for different tools facilitating. Introduction We are looking for a medior/senior Software Development Tools Specialist, a person who can take up hands-on technical lead for different tools facilitating for the so-called EUV Source software development environment. Job Mission Maintain and modify the implementation of tools and way of working for the EUV Source environment,…",2023-12-18T12:35:50Z,DevOps,looking mediorsenior software development tools specialist person take handson technical lead different tools facilitating introduction looking mediorsenior software development tools specialist person take handson technical lead different tools facilitating socalled euv source software development environment job mission maintain modify implementation tools way working euv source
Full Stack Engineer,Square One Resources,"Veldhoven, Noord-Brabant","Are you passionate about solving complex problems with clean, scalable code? Do you thrive in a dynamic, project-based environment where learning never stops? We’re looking for an experienced Full stack Developer to join our clients growing team of dedicated professionals hybrid in The Randstad. At their core, they develop full-stack Java-based solutions for a wide range of clients—from startups to established enterprises. Their projects are driven by data, powered by predictive algorithms, and…",2025-08-01T03:02:08Z,DevOps,passionate solving complex problems clean scalable code thrive dynamic projectbased environment learning never stops looking experienced full stack developer join clients growing team dedicated professionals hybrid randstad core develop fullstack javabased solutions wide range startups established enterprises projects driven data powered predictive algorithms
Generative AI Architect - Freelance,Cognitive Group | Part of the Focus Cloud Group,"Veldhoven, Noord-Brabant","GenAI Architect Role Overview: This role focuses on designing and implementing the end-to-end GenAI architecture, from LLM integration to deployment and scaling. The architect will not manage products but instead focus on technical leadership, especially in integrating GenAI systems into hyperscaler environments with enterprise-grade scalability and performance. Key Responsibilities: Lead the technical design and system architecture for GenAI solutions, including: LLM hosting/inference strategi…",2025-08-01T02:59:58Z,DevOps,genai architect role overview role focuses designing implementing endtoend genai architecture llm integration deployment scaling architect manage products instead focus technical leadership especially integrating genai systems hyperscaler environments enterprisegrade scalability performance key responsibilities lead technical design system architecture genai solutions including llm hostinginference
Remote Business Central Developer,LikeMind Recruitment,"Veldhoven, Noord-Brabant","Business Central Developer (m/f/d) – Hybrid, Netherlands Exciting news Our client is hiring! They’re a well-established IT solutions provider specialising in Microsoft Dynamics 365 Business Central and related Microsoft technologies, including Power Platform, Azure, and Office 365. They deliver development, project implementation, and customised ERP solutions for mid-sized businesses and enterprises across the Benelux. With a focus on growth and innovation, they’re now looking to bring a full-t…",2025-08-01T03:00:40Z,DevOps,business central developer mfd hybrid netherlands exciting news client hiring wellestablished solutions provider specialising microsoft dynamics business central related microsoft technologies including power platform azure office deliver development project implementation customised erp solutions midsized businesses enterprises across benelux focus growth innovation looking bring
Data Scientist,eTeam,"Veldhoven, Noord-Brabant","Role: Data Scientists Salary : 103k per annum  holidays Contract Position Duration : 11-Aug-2025 - 28-Feb-2026 Remote in the Netherlands with a Valid work visa Description: You will work in Data & Analytics together with other Data Scientists, Data Engineers, Data Analysts, Machine Learning Engineers, Data Stewards and Data Architects. Together you will be joining cross-functional teams consisting of colleagues from Technology, Product and Design from the business domain of Business Support. We…",2025-07-31T22:44:49Z,DevOps,role data scientists salary per annum holidays contract position duration remote netherlands valid work visa description work data analytics together data scientists data engineers data analysts machine learning engineers data stewards data architects together joining crossfunctional teams consisting colleagues technology product design business domain business support
C#.NET Developer,Ndus3,"Veldhoven, Noord-Brabant","Je wil je ontwikkelen, net als wij. Groeien en zoveel mogelijk ervaring opdoen, zodat je de beste punten eruit mee kunt nemen en kunt gebruiken om je ambities waar te maken. Dat vinden wij leuk man! Dus gaan wij jou helpen met onbeperkt leren, ja dat staat er echt. Daarnaast gaan we ervoor zorgen dat je je hier helemaal thuis voelt. Wij zijn op zoek naar een C#.NET Software Developer die enthousiast is en zowel goed in teamverband als zelfstandig kan werken. Je wordt onderdeel van het ontwikkel…",2025-07-23T19:03:16Z,DevOps,je wil je ontwikkelen net als wij groeien en zoveel mogelijk ervaring opdoen zodat je de beste punten eruit mee kunt nemen en kunt gebruiken om je ambities waar te maken dat vinden wij leuk man dus gaan wij jou helpen met onbeperkt leren ja dat staat er echt daarnaast gaan ervoor zorgen dat je je hier helemaal thuis voelt wij zijn op zoek naar een cnet software developer die enthousiast en zowel goed teamverband als zelfstandig kan werken je wordt onderdeel van het
Platform Engineer,Bizzdesign,"Veldhoven, Noord-Brabant","Are you looking for an exciting opportunity within a dynamic international company making an impact globally? We might have the perfect match for you! Who are we? Bizzdesign is a SaaS company with 25 years in the Enterprise Architecture and Strategic Portfolio Management industries, with our HQ in Enschede. Our platform helps large enterprises, including Fortune 500 companies, make better decisions through Enterprise Architecture. We recently acquired Alfabet and MEGA International, expanding o…",2025-07-09T07:11:38Z,DevOps,looking exciting opportunity within dynamic international company making impact globally might perfect match bizzdesign saas company years enterprise architecture strategic portfolio management industries hq enschede platform helps large enterprises including fortune companies make better decisions enterprise architecture recently acquired alfabet mega international expanding
