title,company,location,description,created,category,clean_description
Product Manager,GS1,"Veldhoven, Noord-Brabant","GS1 offers a portfolio of services and tools to make the adoption of our standards for industry easier and more impactful. The Product Manager GS1 Data Services will be responsible for delivering GS1 Data Services towards the product vision of the GS1 Federation. The position will have a global responsibility for all product-related aspects. As the Product Manager, you combine strategic thinking with a strong focus on execution for delivering outstanding product experiences that achieve organis…",2025-08-01T03:01:49Z,DevOps,offers a portfolio of services and tools to make the adoption of our standards for industry easier and more impactful the product manager data services will be responsible for delivering data services towards the product vision of the federation the position will have a global responsibility for all productrelated aspects as the product manager you combine strategic thinking with a strong focus on execution for delivering outstanding product experiences that achieve
Teamcenter Security Architect/Technical Lead,ASML,"Veldhoven, Noord-Brabant","Introduction to the job Our PLM and Configuration Management department is responsible for delivering solutions that push the limits of technology to unlock the business value of digital design and Product Lifecycle Management (PLM). We deliver cutting-edge PLM solutions to solve some of ASML’s toughest challenges. Together with our partners, and based on global best practices, we deliver the digital foundation of product innovation. In this role you'll be the bridge between the PLM functional …",2025-07-01T13:09:20Z,DevOps,introduction to the job our plm and configuration management department is responsible for delivering solutions that push the limits of technology to unlock the business value of digital design and product lifecycle management plm we deliver cuttingedge plm solutions to solve some of toughest challenges together with our partners and based on global best practices we deliver the digital foundation of product innovation in this role youll be the bridge between the plm functional
Solution Architect - Microsoft D365 F&O (Remote),HEF associates,"Veldhoven, Noord-Brabant","For a trusted client, we are looking for a Solution Architect to join a young growing scaleup who is active in a niche market for which they developed a market specific solution. The solution is the best solution available within this specific market and because they are getting more traction, they are needing to grow the team. Our client is growing throughout the whole of Europe, and has a remote team working from a variety of countries which means this job is remote with travel to clients thr…",2025-07-17T08:08:28Z,DevOps,for a trusted client we are looking for a solution architect to join a young growing scaleup who is active in a niche market for which they developed a market specific solution the solution is the best solution available within this specific market and because they are getting more traction they are needing to grow the team our client is growing throughout the whole of europe and has a remote team working from a variety of countries which means this job is remote with travel to clients
Cloud Infrastructure Engineer,BDO,"Veldhoven, Noord-Brabant","About BDO BDO is the leading mid-tier professional services provider globally. In 2024, our core service lines (Audit & Assurance, Tax, Advisory, and Business Services & Outsourcing) generated annual revenues of over US$15 billion. With a worldwide community of over 119k professionals operating in 166 countries and territories, we’re dedicated to helping our clients navigate complex financial and strategic challenges, aligned to our core purpose ‘ People helping people. ’ Why join us? A great p…",2025-06-12T22:07:03Z,DevOps,about bdo bdo is the leading midtier professional services provider globally in our core service lines audit assurance tax advisory and business services outsourcing generated annual revenues of over billion with a worldwide community of over professionals operating in countries and territories dedicated to helping our clients navigate complex financial and strategic challenges aligned to our core purpose people helping people why join us a great
Data Scientist,eTeam,"Veldhoven, Noord-Brabant","Role: Data Scientists Salary : 103k per annum  holidays Contract Position Duration : 11-Aug-2025 - 28-Feb-2026 Remote in the Netherlands with a Valid work visa Description: You will work in Data & Analytics together with other Data Scientists, Data Engineers, Data Analysts, Machine Learning Engineers, Data Stewards and Data Architects. Together you will be joining cross-functional teams consisting of colleagues from Technology, Product and Design from the business domain of Business Support. We…",2025-07-31T22:44:49Z,Data Analyst,role data scientists salary per annum holidays contract position duration remote in the netherlands with a valid work visa description you will work in data analytics together with other data scientists data engineers data analysts machine learning engineers data stewards and data architects together you will be joining crossfunctional teams consisting of colleagues from technology product and design from the business domain of business support
Data Architectuur Specialist (Data Modelleur / Data Architect),CIMSOLUTIONS,"Veldhoven, Noord-Brabant","Als Data Architectuur Specialist ben je verantwoordelijk voor het ontwerpen, ontwikkelen, beheren en implementeren van datamodellen en de data-architectuur bij of voor onze gerenommeerde klanten waaronder Belastingdienst, Gemeente Den Haag, diverse ministeries, Centraal Justitieel Incassobureau of VGZ. Afhankelijk van het ervaringsniveau ligt de focus op verschillende aspecten van datamodellering en data-architectuur. Waarom past deze vacature bij jou? Als Data Architectuur Specialist speel jij…",2025-07-09T07:11:50Z,Data Analyst,als data architectuur specialist ben je verantwoordelijk voor het ontwerpen ontwikkelen beheren en implementeren van datamodellen en de dataarchitectuur bij of voor onze gerenommeerde klanten waaronder belastingdienst gemeente den haag diverse ministeries centraal justitieel incassobureau of vgz afhankelijk van het ervaringsniveau ligt de focus op verschillende aspecten van datamodellering en dataarchitectuur waarom past deze vacature bij jou als data architectuur specialist speel
Data and Use-Case Analyst – SupTech Solutions,NTU International A/S,"Veldhoven, Noord-Brabant","Data and Use-Case Analyst – SupTech Solutions Location: Europe Duration: Short- to medium-term Estimated Workload: Short-term assignments / task-based consultancy About the Opportunity: We are creating a pool of Data and Use-Case Analysts – SupTech Solutions for a new FWC Contract: EC-SG REFORM/2025/OP/0001: Provision of consultancy services to support the design, development, implementation, monitoring and evaluation of structural reforms in EU Member State. Experts in this pool will be contac…",2025-07-09T01:10:24Z,Data Analyst,data and usecase analyst suptech solutions location europe duration short to mediumterm estimated workload shortterm assignments taskbased consultancy about the opportunity we are creating a pool of data and usecase analysts suptech solutions for a new fwc contract ecsg provision of consultancy services to support the design development implementation monitoring and evaluation of structural reforms in eu member state experts in this pool will be
Lead C++ Software Engineer (Gameplay),Playrix,"Veldhoven, Noord-Brabant","Playrix — одна из самых успешных компаний по разработке мобильных игр в мире. По доходам среди всех мобильных приложений мы входим в топ-3 в мире, а в Европе мы первые. Наши игры установили 2,3 миллиарда раз (треть населения Земли), каждый день в них играет более 30 миллионов людей по всему миру! У нас большие планы на развитие и рост наших проектов, именно поэтому мы ищем сильнейших экспертов в наши команды разработки. При этом опыт работы на С и/или в геймдеве совсем необязателен: у нас отлич…",2025-04-24T23:33:49Z,Software Engineer,playrix одна из самых успешных компаний по разработке мобильных игр в мире по доходам среди всех мобильных приложений мы входим в в мире а в европе мы первые наши игры установили миллиарда раз треть населения земли каждый день в них играет более миллионов людей по всему миру у нас большие планы на развитие и рост наших проектов именно поэтому мы ищем сильнейших экспертов в наши команды разработки при этом опыт работы на с иили в геймдеве совсем необязателен у нас
Software Engineer (Remote) - Java/Angular,Doghouse Recruitment,"Veldhoven, Noord-Brabant","Full-Stack Engineer · Java/Spring Boot & Angular · Remote Europe · Up To €65K  Benefits Are you a hands-on engineer who enjoys building useful products and solving real problems for modern, distributed teams? Want to work in a fast-moving SaaS environment that values flexibility, ownership, and async communication? Join a fully remote company that’s redefining how global teams handle business travel and employee mobility. With products already live in Vacations, Business Travel, and Visas, they…",2025-08-01T02:59:35Z,Software Engineer,fullstack engineer javaspring boot angular remote europe up to benefits are you a handson engineer who enjoys building useful products and solving real problems for modern distributed teams want to work in a fastmoving saas environment that values flexibility ownership and async communication join a fully remote company redefining how global teams handle business travel and employee mobility with products already live in vacations business travel and visas
Senior C++ Software Engineer (Gameplay),Playrix,"Veldhoven, Noord-Brabant","Playrix — одна из самых успешных компаний по разработке мобильных игр в мире. По доходам среди всех мобильных приложений мы входим в топ-3 в мире, а в Европе мы первые. Наши игры установили 2,3 миллиарда раз (треть населения Земли), каждый день в них играет более 30 миллионов людей по всему миру! У нас большие планы на развитие и рост наших проектов, именно поэтому мы ищем сильнейших экспертов в наши команды разработки. При этом опыт работы на С и/или в геймдеве совсем необязателен: у нас отлич…",2025-04-24T23:33:47Z,Software Engineer,playrix одна из самых успешных компаний по разработке мобильных игр в мире по доходам среди всех мобильных приложений мы входим в в мире а в европе мы первые наши игры установили миллиарда раз треть населения земли каждый день в них играет более миллионов людей по всему миру у нас большие планы на развитие и рост наших проектов именно поэтому мы ищем сильнейших экспертов в наши команды разработки при этом опыт работы на с иили в геймдеве совсем необязателен у нас
Junior Projectleider,Regel Partners B.V. - System Integrators met inhoud,"Veldhoven, Noord-Brabant","Gebouwen worden steeds slimmer en dat maakt de wereld van Regel Partners enorm uitdagend! Onze organisatie automatiseert en visualiseert alle denkbare installaties in en rondom gebouwen. Wij houden van toonaangevende, aansprekende en duurzame projecten. Jij ook? Als Junior Projectleider ben je verantwoordelijk voor het verrichten van de werkvoorbereiding en (software) engineering van projecten en het daarbij realiseren en calculeren van meer- en minderwerk. Je bent een belangrijke schakel in he…",2025-07-09T07:12:11Z,Software Engineer,gebouwen worden steeds slimmer en dat maakt de wereld van regel partners enorm uitdagend onze organisatie automatiseert en visualiseert alle denkbare installaties in en rondom gebouwen wij houden van toonaangevende aansprekende en duurzame projecten jij ook als junior projectleider ben je verantwoordelijk voor het verrichten van de werkvoorbereiding en software engineering van projecten en het daarbij realiseren en calculeren van meer en minderwerk je bent een belangrijke schakel in
Senior Software Design Engineer,ASML,"Veldhoven, Noord-Brabant","ASML is leading in the worldwide development, production, sales of high end lithography systems for the semiconductor industry. Worldwide over 20.000 people work at AS ASML is leading in the worldwide development, production and sales of high end lithography systems for the semiconductor industry. Worldwide over 20.000 people work at ASML, with important settlings in the United States, Asia and the head office in Veldhoven. The employees of ASML share the passion for technology with a customer …",2023-12-18T12:35:50Z,Software Engineer,asml is leading in the worldwide development production sales of high end lithography systems for the semiconductor industry worldwide over people work at as asml is leading in the worldwide development production and sales of high end lithography systems for the semiconductor industry worldwide over people work at asml with important settlings in the united states asia and the head office in veldhoven the employees of asml share the passion for technology with a customer
Master/PhD in Computer Science,Innodata Inc.,"Veldhoven, Noord-Brabant","Job Title: AI Trainer (LLM Training – Computer Science Domain) Location: Remote About the Role: We are seeking highly qualified individuals with a Master’s or PhD in Computer Science to join our AI development team as AI Trainers . In this role, you will use your deep technical knowledge to evaluate, annotate, and provide structured feedback on AI-generated content produced by Large Language Models (LLMs). Your expertise will bring a level of precision, technical depth, and computational reason…",2025-07-23T19:03:04Z,Software Engineer,job title ai trainer llm training computer science domain location remote about the role we are seeking highly qualified individuals with a or phd in computer science to join our ai development team as ai trainers in this role you will use your deep technical knowledge to evaluate annotate and provide structured feedback on aigenerated content produced by large language models llms your expertise will bring a level of precision technical depth and computational
Software Design Engineer for Metrology,ASML,"Veldhoven, Noord-Brabant",Are you an expert in requirements engineering and challenged by translating functional requirements into lean software designs?Do you combine strong analytical reasoning and concep Introduction Are you an expert in requirements engineering and challenged by translating functional requirements into lean software designs?Do you combine strong analytical reasoning and conceptual understanding with excellent communication skills? Job Mission Metrology software orchestrates the behavior of powerful …,2023-12-18T12:35:48Z,Software Engineer,are you an expert in requirements engineering and challenged by translating functional requirements into lean software designsdo you combine strong analytical reasoning and concep introduction are you an expert in requirements engineering and challenged by translating functional requirements into lean software designsdo you combine strong analytical reasoning and conceptual understanding with excellent communication skills job mission metrology software orchestrates the behavior of powerful
Recruitment Consultant,Orange Quarter,"Veldhoven, Noord-Brabant","Orange Quarter is looking for a Recruitment Consultant to join a high performing team recruitment team in Amsterdam. We work with some of Amsterdam's best-known startups and scale ups to help them hire across AI, Data, Software Engineering and Product. As a Recruitment Consultant, you might not have previous recruitment experience however, the ideal candidate will at least have a strong understanding of sales and relationship building. You will need to be confident in building relationships, wh…",2025-08-01T03:01:23Z,Software Engineer,orange quarter is looking for a recruitment consultant to join a high performing team recruitment team in amsterdam we work with some of amsterdams bestknown startups and scale ups to help them hire across ai data software engineering and product as a recruitment consultant you might not have previous recruitment experience however the ideal candidate will at least have a strong understanding of sales and relationship building you will need to be confident in building relationships
